player_id,primary_archetype,archetype_0_weight,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight,archetype_6_weight,player_name
2544,2,7.883069053255478e-05,4.010472547444002e-17,0.9999147233447033,9.398763479329403e-29,6.445964765455515e-06,3.8003718026697816e-28,0.0,ID: 2544
201142,2,2.0517328836922025e-10,4.4715266109757685e-21,0.9999999997557047,1.6005719069216393e-63,3.912350793641482e-11,6.767381488902912e-80,0.0,ID: 201142
201143,5,1.976465236727005e-06,3.285251503143405e-65,1.8823953915402703e-21,1.6669754318642135e-06,7.34275378657859e-06,0.9999890138055451,0.0,ID: 201143
201144,3,9.255208642675976e-14,0.0070551716095491905,5.749406255470849e-14,0.9929448142159667,1.4174333326267931e-08,7.958606040536787e-18,0.0,ID: 201144
201566,0,0.9999999999999467,2.5068867044268692e-24,5.174750967806657e-14,2.4422428904428345e-20,1.0812909605347997e-18,6.025350576366118e-35,0.0,ID: 201566
201567,5,1.938476114434543e-12,2.27370238225057e-58,1.6542188207243536e-29,1.8528885787265953e-07,2.1668369433369145e-10,0.9999998144925198,0.0,ID: 201567
201572,5,0.010661868997014967,6.326719490759999e-71,8.137640057794655e-22,4.0111205693977853e-10,0.0008360085759590699,0.9885021220259156,0.0,ID: 201572
201587,5,7.31367534757366e-19,1.5772883741254724e-62,9.5299777320201e-50,2.1795593999356226e-10,1.1711253929076564e-21,0.999999999782041,0.0,ID: 201587
201935,2,3.984502964599633e-18,0.0001597923419633902,0.9998402076407633,1.5635457636306516e-22,1.72739689882101e-11,3.491964653836965e-66,0.0,ID: 201935
201939,2,2.839743589379984e-17,0.02131862103072328,0.9782075612843769,3.3972341578132064e-15,0.00047381768489728284,6.758178543567259e-54,0.0,ID: 201939
201942,2,4.8038452049730095e-12,6.608702134172726e-51,0.9999999999951967,9.202060271663508e-244,2.6444288719717686e-44,7.281398889078831e-117,0.0,ID: 201942
201950,1,2.8034168900306187e-09,0.9983235573855395,0.001676081544823428,2.4262664585946724e-10,3.580235940378098e-07,5.9750825719454e-42,0.0,ID: 201950
202331,4,2.050969054903532e-10,0.004047212785637259,0.07822809591076937,1.7050251050486056e-11,0.9177246910814452,9.62169724019514e-33,0.0,ID: 202331
202685,6,0.00011006126459539295,3.148895087025995e-206,5.410000500048618e-45,0.0,7.298721465542655e-122,4.637994757440401e-48,0.9998899387354041,ID: 202685
202691,4,1.6595681084884756e-21,7.673551437385385e-21,2.1471168779747574e-22,1.4034663117464049e-08,0.9999999859653387,8.874775279900176e-60,0.0,ID: 202691
202695,2,5.228688010893055e-16,2.7733072929604883e-17,0.9999999999666045,1.3818545547966892e-47,3.3394818874804854e-11,2.4430264648159698e-116,0.0,ID: 202695
202696,5,0.05685286621177564,4.7012980021381807e-94,8.134311248340378e-21,7.471974336292339e-66,1.543961831896497e-13,0.8017538424800175,0.1413932913080509,ID: 202696
202699,4,0.007678790077340531,1.7179523052310621e-25,7.966021857393894e-06,3.3772656151868575e-09,0.9923132405235321,4.6524271066366184e-15,0.0,ID: 202699
202710,0,0.9998233647764753,8.037174798588842e-11,0.00017662332920690644,2.955752343781789e-39,1.181394526749097e-08,1.862532224525309e-19,0.0,ID: 202710
203076,0,1.0,6.978253780494397e-76,5.419119283983245e-16,9.307149543630223e-193,3.2214111459199126e-34,5.706458031401571e-28,0.0,ID: 203076
203083,6,2.5962896348499183e-10,1.6715265037916356e-63,3.5016976757370563e-34,1.1967017699940084e-17,2.429858053347932e-16,8.269165277056049e-05,0.9999173080876009,ID: 203083
203084,4,5.176822403068447e-08,2.5460816812240123e-21,5.591049779579554e-13,0.011472219931798085,0.9885256350487378,2.093250680884769e-06,0.0,ID: 203084
203110,5,0.0002281562171867484,8.742677147724348e-43,2.8451159636915977e-22,2.8642134573937905e-05,8.528746568727208e-09,0.996105042559035,0.003638150560458691,ID: 203110
203114,2,2.0672178148044057e-07,5.395537201705886e-17,0.999999793271428,2.296492810896997e-65,6.790773688231127e-12,3.152108709560038e-64,0.0,ID: 203114
203468,2,5.458694207241274e-14,0.0014868917824435854,0.9985104971970169,1.2113782149593831e-18,2.6110204842036723e-06,4.3537075575870266e-71,0.0,ID: 203468
203471,1,2.2714718558221533e-09,0.9999166736360081,8.067276639088109e-05,1.0362404683913395e-10,2.6512225052079486e-06,8.823686953211508e-32,0.0,ID: 203471
203484,4,5.406454301251346e-08,0.0522409069930555,3.204567599733566e-05,6.582627013655223e-08,0.9477269274401349,2.5133064843593257e-21,0.0,ID: 203484
203497,6,9.28794291502845e-13,8.646737143520386e-144,1.1599563427592271e-47,1.31335074205646e-309,1.9316007836010703e-71,9.803101181177176e-32,0.999999999999071,ID: 203497
203500,6,1.5302780583417017e-14,2.6902272999795655e-300,3.1847277053935217e-68,0.0,1.6282618121164878e-223,3.4640183959150844e-91,0.9999999999999849,ID: 203500
203501,4,3.993505870314339e-18,5.054936313759288e-23,6.069022054368639e-17,1.44320936139097e-05,0.999985567906385,3.383760435136946e-23,0.0,ID: 203501
203507,0,0.9999976575428997,5.671114229608711e-30,2.342347201911131e-06,2.9647745094819466e-36,1.0990011973578111e-10,3.99678810034448e-27,0.0,ID: 203507
203897,2,7.678724359638207e-19,0.04027778546580584,0.7442310762924073,3.181425069128967e-15,0.21549113824178265,1.7120333416905534e-44,0.0,ID: 203897
203903,4,3.4720312118759746e-08,1.7527320825075338e-06,3.607443162125472e-07,7.369593193543628e-11,0.999997851729594,9.288562936771123e-28,0.0,ID: 203903
