player_id,player_name,primary_archetype,archetype_0_weight,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight,archetype_6_weight,archetype_purity
2544,LeBron James,2,7.883069053255478e-05,4.010472547444002e-17,0.9999147233447032,9.398763479329403e-29,6.445964765455515e-06,3.800371802669781e-28,0.0,0.9999147233447032
201142,Kevin Durant,2,2.0517328836922022e-10,4.471526610975769e-21,0.9999999997557047,1.6005719069216393e-63,3.912350793641482e-11,6.767381488902912e-80,0.0,0.9999999997557047
201143,Al Horford,5,1.976465236727005e-06,3.285251503143405e-65,1.8823953915402703e-21,1.6669754318642135e-06,7.34275378657859e-06,0.9999890138055452,0.0,0.9999890138055452
201144,Mike Conley,3,9.255208642675976e-14,0.0070551716095491,5.749406255470849e-14,0.9929448142159668,1.4174333326267931e-08,7.958606040536787e-18,0.0,0.9929448142159668
201566,Russell Westbrook,0,0.9999999999999468,2.5068867044268692e-24,5.174750967806657e-14,2.4422428904428342e-20,1.0812909605347997e-18,6.025350576366117e-35,0.0,0.9999999999999468
201567,Kevin Love,5,1.938476114434543e-12,2.2737023822505702e-58,1.6542188207243536e-29,1.8528885787265953e-07,2.1668369433369143e-10,0.9999998144925198,0.0,0.9999998144925198
201572,Brook Lopez,5,0.0106618689970149,6.326719490759999e-71,8.137640057794655e-22,4.0111205693977853e-10,0.000836008575959,0.9885021220259156,0.0,0.9885021220259156
201587,Nicolas Batum,5,7.31367534757366e-19,1.5772883741254724e-62,9.5299777320201e-50,2.1795593999356223e-10,1.1711253929076564e-21,0.999999999782041,0.0,0.999999999782041
201935,James Harden,2,3.9845029645996334e-18,0.0001597923419633,0.9998402076407632,1.5635457636306516e-22,1.7273968988210097e-11,3.4919646538369654e-66,0.0,0.9998402076407632
201939,Stephen Curry,2,2.839743589379984e-17,0.0213186210307232,0.9782075612843768,3.3972341578132064e-15,0.0004738176848972,6.758178543567258e-54,0.0,0.9782075612843768
201942,DeMar DeRozan,2,4.8038452049730095e-12,6.608702134172726e-51,0.9999999999951968,9.202060271663509e-244,2.644428871971769e-44,7.281398889078831e-117,0.0,0.9999999999951968
201950,Jrue Holiday,1,2.8034168900306187e-09,0.9983235573855396,0.0016760815448234,2.4262664585946724e-10,3.580235940378098e-07,5.9750825719454e-42,0.0,0.9983235573855396
