team_id,team_name,season,shot_zone,fgm_allowed,fga_allowed,fg_pct_allowed,frequency_pct
1610612761,Toronto Raptors,2024-25,Restricted Area,18.1,27.0,0.671,0.3065
1610612761,Toronto Raptors,2024-25,In The Paint (Non-RA),6.8,15.8,0.43,0.1793
1610612761,Toronto Raptors,2024-25,Mid-Range,3.1,7.7,0.4,0.0874
1610612761,Toronto Raptors,2024-25,Left Corner 3,2.0,5.1,0.392,0.0579
1610612761,Toronto Raptors,2024-25,Right Corner 3,1.8,5.0,0.363,0.0568
1610612761,Toronto Raptors,2024-25,Above the Break 3,9.4,27.5,0.34,0.3121
1610612762,Utah Jazz,2024-25,Restricted Area,15.6,22.4,0.697,0.2416
1610612762,Utah Jazz,2024-25,In The Paint (Non-RA),10.6,21.5,0.494,0.2319
1610612762,Utah Jazz,2024-25,Mid-Range,3.5,7.5,0.46,0.0809
1610612762,Utah Jazz,2024-25,Left Corner 3,2.1,5.0,0.417,0.0539
1610612762,Utah Jazz,2024-25,Right Corner 3,1.7,4.5,0.369,0.0485
1610612762,Utah Jazz,2024-25,Above the Break 3,11.1,31.8,0.349,0.343
1610612764,Washington Wizards,2024-25,Restricted Area,17.8,25.3,0.704,0.2729
1610612764,Washington Wizards,2024-25,In The Paint (Non-RA),7.9,19.4,0.409,0.2093
1610612764,Washington Wizards,2024-25,Mid-Range,3.7,9.0,0.412,0.0971
1610612764,Washington Wizards,2024-25,Left Corner 3,2.1,5.3,0.396,0.0572
1610612764,Washington Wizards,2024-25,Right Corner 3,2.1,5.0,0.411,0.0539
1610612764,Washington Wizards,2024-25,Above the Break 3,10.1,28.7,0.352,0.3096
