team_id,team_abbreviation,season,play_type,possessions,points,poss_pct,percentile,games_played,points_per_possession,fg_pct,efg_pct
1610612737,ATL,2022-23,Isolation,8.3,8.0,0.073,0.276,82,0.964,0.451,0.482
1610612765,DET,2022-23,Isolation,8.6,8.8,0.077,0.034,82,1.023,0.466,0.514
1610612751,BKN,2022-23,Isolation,10.8,9.6,0.097,0.897,82,0.889,0.401,0.436
1610612738,BOS,2022-23,Isolation,10.2,9.9,0.092,0.241,82,0.971,0.433,0.479
1610612761,TOR,2022-23,Postup,3.4,2.8,0.032,1.0,82,0.824,0.439,0.439
1610612763,MEM,2022-23,Postup,3.0,3.0,0.026,0.517,82,1.0,0.526,0.526
1610612755,PHI,2022-23,Postup,3.3,3.5,0.03,0.034,82,1.061,0.532,0.532
1610612766,CHA,2022-23,Postup,3.8,3.6,0.034,0.828,82,0.947,0.504,0.504
1610612752,NYK,2022-23,Postup,4.0,3.6,0.036,0.862,82,0.9,0.454,0.454
1610612739,CLE,2022-23,Postup,4.0,3.6,0.037,0.931,82,0.9,0.455,0.455
1610612749,MIL,2022-23,Postup,3.7,3.6,0.033,0.586,82,0.973,0.489,0.489
1610612740,NOP,2022-23,Postup,4.0,3.6,0.036,0.897,82,0.9,0.487,0.487
1610612750,MIN,2022-23,Postup,3.9,3.9,0.034,0.621,82,1.0,0.504,0.504
1610612737,ATL,2022-23,Postup,4.1,3.9,0.036,0.793,82,0.951,0.502,0.502
1610612746,LAC,2022-23,Postup,4.6,4.1,0.042,0.966,82,0.891,0.463,0.463
1610612743,DEN,2022-23,Postup,4.5,4.4,0.041,0.655,82,0.978,0.48,0.48
1610612748,MIA,2022-23,Postup,4.3,4.4,0.041,0.276,82,1.023,0.549,0.549
1610612742,DAL,2022-23,Postup,4.5,4.5,0.041,0.552,82,1.0,0.533,0.533
1610612741,CHI,2022-23,Postup,4.7,4.5,0.043,0.759,82,0.957,0.493,0.493
1610612756,PHX,2022-23,Postup,4.6,4.5,0.042,0.69,82,0.978,0.496,0.496
1610612764,WAS,2022-23,Postup,4.6,4.6,0.042,0.379,82,1.0,0.5,0.5
1610612759,SAS,2022-23,Postup,4.5,4.6,0.04,0.31,82,1.022,0.551,0.551
1610612758,SAC,2022-23,Postup,4.4,4.7,0.039,0.138,82,1.068,0.541,0.541
1610612744,GSW,2022-23,Postup,5.0,4.7,0.043,0.724,82,0.94,0.473,0.473
1610612747,LAL,2022-23,Postup,4.5,4.8,0.039,0.069,82,1.067,0.584,0.584
1610612757,POR,2022-23,Postup,5.0,5.0,0.045,0.414,82,1.0,0.53,0.53
1610612745,HOU,2022-23,Postup,4.6,5.0,0.041,0.0,82,1.087,0.581,0.581
1610612762,UTA,2022-23,Postup,4.9,5.1,0.043,0.207,82,1.041,0.519,0.519
1610612760,OKC,2022-23,Postup,5.2,5.3,0.045,0.345,82,1.019,0.548,0.548
1610612754,IND,2022-23,Postup,5.3,5.4,0.046,0.241,82,1.019,0.527,0.527
1610612753,ORL,2022-23,Postup,5.5,5.4,0.05,0.483,82,0.982,0.497,0.497
1610612738,BOS,2022-23,Postup,5.5,5.8,0.05,0.172,82,1.055,0.568,0.568
1610612765,DET,2022-23,Postup,5.6,6.0,0.05,0.103,82,1.071,0.546,0.546
1610612751,BKN,2022-23,Postup,7.2,7.1,0.064,0.448,82,0.986,0.502,0.502
1610612748,MIA,2022-23,PRBallHandler,14.1,12.5,0.132,0.793,82,0.887,0.456,0.511
1610612761,TOR,2022-23,PRBallHandler,15.1,13.7,0.14,0.483,82,0.907,0.478,0.516
1610612757,POR,2022-23,PRBallHandler,15.7,14.6,0.142,0.276,82,0.93,0.447,0.496
1610612753,ORL,2022-23,PRBallHandler,16.7,15.1,0.151,0.552,82,0.904,0.444,0.498
1610612754,IND,2022-23,PRBallHandler,16.8,15.2,0.147,0.586,82,0.905,0.442,0.492
1610612743,DEN,2022-23,PRBallHandler,17.0,15.3,0.155,0.655,82,0.9,0.455,0.496
1610612763,MEM,2022-23,PRBallHandler,18.6,15.5,0.163,1.0,82,0.833,0.393,0.44
1610612751,BKN,2022-23,PRBallHandler,17.2,15.6,0.154,0.517,82,0.907,0.434,0.485
1610612740,NOP,2022-23,PRBallHandler,18.2,15.8,0.165,0.897,82,0.868,0.432,0.482
1610612760,OKC,2022-23,PRBallHandler,18.0,15.9,0.156,0.759,82,0.883,0.439,0.481
1610612741,CHI,2022-23,PRBallHandler,18.5,16.1,0.168,0.931,82,0.87,0.427,0.48
1610612742,DAL,2022-23,PRBallHandler,17.2,16.2,0.158,0.138,82,0.942,0.453,0.489
1610612744,GSW,2022-23,PRBallHandler,18.7,16.5,0.163,0.862,82,0.882,0.422,0.47
1610612746,LAC,2022-23,PRBallHandler,18.4,16.5,0.167,0.69,82,0.897,0.425,0.474
1610612758,SAC,2022-23,PRBallHandler,17.8,16.7,0.159,0.207,82,0.938,0.467,0.512
1610612764,WAS,2022-23,PRBallHandler,18.7,16.7,0.169,0.724,82,0.893,0.436,0.477
1610612765,DET,2022-23,PRBallHandler,17.5,17.1,0.157,0.034,82,0.977,0.457,0.514
1610612739,CLE,2022-23,PRBallHandler,19.6,17.3,0.182,0.828,82,0.883,0.442,0.487
1610612755,PHI,2022-23,PRBallHandler,19.1,17.7,0.175,0.31,82,0.927,0.45,0.498
1610612745,HOU,2022-23,PRBallHandler,18.0,17.9,0.163,0.0,82,0.994,0.464,0.533
1610612756,PHX,2022-23,PRBallHandler,21.1,18.1,0.191,0.966,82,0.858,0.417,0.458
1610612762,UTA,2022-23,PRBallHandler,20.2,18.8,0.177,0.241,82,0.931,0.436,0.486
1610612737,ATL,2022-23,PRBallHandler,21.0,19.1,0.184,0.448,82,0.91,0.452,0.489
1610612750,MIN,2022-23,PRBallHandler,21.1,19.3,0.185,0.414,82,0.915,0.447,0.491
1610612738,BOS,2022-23,PRBallHandler,21.3,19.5,0.192,0.379,82,0.915,0.433,0.478
1610612747,LAL,2022-23,PRBallHandler,21.9,19.8,0.191,0.621,82,0.904,0.428,0.466
1610612752,NYK,2022-23,PRBallHandler,21.3,20.0,0.193,0.172,82,0.939,0.45,0.494
1610612766,CHA,2022-23,PRBallHandler,21.2,20.2,0.186,0.069,82,0.953,0.472,0.513
1610612759,SAS,2022-23,PRBallHandler,22.2,21.1,0.195,0.103,82,0.95,0.467,0.504
1610612749,MIL,2022-23,PRBallHandler,26.8,24.6,0.236,0.345,82,0.918,0.426,0.477
1610612748,MIA,2022-23,PRRollMan,4.4,5.0,0.041,0.759,82,1.136,0.553,0.595
1610612751,BKN,2022-23,PRRollMan,4.5,5.3,0.041,0.448,82,1.178,0.556,0.596
1610612760,OKC,2022-23,PRRollMan,5.0,5.5,0.043,0.931,82,1.1,0.543,0.575
1610612753,ORL,2022-23,PRRollMan,4.4,5.7,0.04,0.0,82,1.295,0.598,0.659
1610612762,UTA,2022-23,PRRollMan,5.1,5.7,0.045,0.724,82,1.118,0.517,0.571
1610612742,DAL,2022-23,PRRollMan,5.5,6.3,0.05,0.586,82,1.145,0.544,0.584
1610612745,HOU,2022-23,PRRollMan,5.4,6.4,0.049,0.379,82,1.185,0.55,0.604
1610612754,IND,2022-23,PRRollMan,5.4,6.5,0.047,0.207,82,1.204,0.586,0.628
1610612755,PHI,2022-23,PRRollMan,5.9,6.5,0.054,0.862,82,1.102,0.528,0.572
1610612765,DET,2022-23,PRRollMan,5.5,6.6,0.049,0.241,82,1.2,0.57,0.603
